0,Corsort,200,201,0.19642058165548099
0,Corsort,400,401,0.1072930648769575
0,Corsort,600,601,0.04814317673378076
0,Corsort,800,801,0.008053691275167786
0,Multizip Sort,200,234,0.48907449184016716
0,Multizip Sort,400,412,0.4998149899272294
0,Multizip Sort,600,604,0.454376506684199
0,Multizip Sort,800,801,0.28139762645466065
1,Corsort,200,201,0.20420581655480985
1,Corsort,400,401,0.11087248322147651
1,Corsort,600,601,0.05118568232662193
1,Corsort,800,801,0.008232662192393736
1,Multizip Sort,200,234,0.5018317289201927
1,Multizip Sort,400,412,0.5054064877853424
1,Multizip Sort,600,604,0.4642221028526194
1,Multizip Sort,800,801,0.2708050553494405
2,Corsort,200,201,0.17816554809843402
2,Corsort,400,401,0.11131991051454139
2,Corsort,600,601,0.042953020134228186
2,Corsort,800,801,0.010738255033557046
2,Multizip Sort,200,233,0.5037492288272115
2,Multizip Sort,400,412,0.5054126053246013
2,Multizip Sort,600,604,0.46322347808131864
2,Multizip Sort,800,801,0.28077564271299466
3,Corsort,200,201,0.1934675615212528
3,Corsort,400,401,0.10031319910514541
3,Corsort,600,601,0.05404921700223714
3,Corsort,800,801,0.009932885906040268
3,Multizip Sort,200,232,0.49618455423204766
3,Multizip Sort,400,411,0.4940794315442203
3,Multizip Sort,600,604,0.45409795473679
3,Multizip Sort,800,801,0.24910522548317823
4,Corsort,200,201,0.19659955257270695
4,Corsort,400,401,0.09968680089485459
4,Corsort,600,601,0.04742729306487696
4,Corsort,800,801,0.009932885906040268
4,Multizip Sort,200,232,0.5033441966057153
4,Multizip Sort,400,412,0.49882404339753156
4,Multizip Sort,600,604,0.45819214299013217
4,Multizip Sort,800,801,0.2660825660825661
5,Corsort,200,201,0.18129753914988814
5,Corsort,400,401,0.09870246085011186
5,Corsort,600,601,0.051096196868008946
5,Corsort,800,801,0.009306487695749441
5,Multizip Sort,200,232,0.5024254441306656
5,Multizip Sort,400,411,0.49720705517229236
5,Multizip Sort,600,604,0.45949968515656303
5,Multizip Sort,800,801,0.278225198322927
6,Corsort,200,201,0.18997762863534676
6,Corsort,400,401,0.10693512304250559
6,Corsort,600,601,0.04948545861297539
6,Corsort,800,801,0.008948545861297539
6,Multizip Sort,200,231,0.5073787490338358
6,Multizip Sort,400,411,0.5026156872514238
6,Multizip Sort,600,604,0.47107214081331833
6,Multizip Sort,800,801,0.23527459764393563
7,Corsort,200,201,0.2098434004474273
7,Corsort,400,401,0.1152572706935123
7,Corsort,600,601,0.0519910514541387
7,Corsort,800,801,0.012348993288590604
7,Multizip Sort,200,232,0.4851691843776276
7,Multizip Sort,400,411,0.4882397023101969
7,Multizip Sort,600,604,0.44810491776633243
7,Multizip Sort,800,801,0.2339442231075697
8,Corsort,200,201,0.20572706935123042
8,Corsort,400,401,0.1196420581655481
8,Corsort,600,601,0.06246085011185682
8,Corsort,800,801,0.01046979865771812
8,Multizip Sort,200,233,0.5090432759296418
8,Multizip Sort,400,411,0.5076360867910163
8,Multizip Sort,600,604,0.47173519364530603
8,Multizip Sort,800,801,0.23400796812749003
9,Corsort,200,201,0.2105592841163311
9,Corsort,400,401,0.10684563758389262
9,Corsort,600,601,0.04715883668903803
9,Corsort,800,801,0.007874720357941834
9,Multizip Sort,200,231,0.4961311384316177
9,Multizip Sort,400,411,0.49308110554932705
9,Multizip Sort,600,604,0.456342346791785
9,Multizip Sort,800,801,0.2383113490923338
10,Corsort,200,201,0.19015659955257272
10,Corsort,400,401,0.10407158836689039
10,Corsort,600,601,0.044384787472035794
10,Corsort,800,801,0.008411633109619687
10,Multizip Sort,200,232,0.5054908312680106
10,Multizip Sort,400,411,0.5007054931153603
10,Multizip Sort,600,604,0.4666894019940219
10,Multizip Sort,800,801,0.2559521956988578
11,Corsort,200,201,0.19651006711409397
11,Corsort,400,401,0.11051454138702461
11,Corsort,600,601,0.04859060402684564
11,Corsort,800,801,0.008411633109619687
11,Multizip Sort,200,231,0.4734626902234743
11,Multizip Sort,400,411,0.4704216604293978
11,Multizip Sort,600,604,0.4348170556035725
11,Multizip Sort,800,801,0.24590526781761843
12,Corsort,200,201,0.19874720357941836
12,Corsort,400,401,0.12930648769574943
12,Corsort,600,601,0.04098434004474273
12,Corsort,800,801,0.006085011185682327
12,Multizip Sort,200,231,0.5222653816634031
12,Multizip Sort,400,411,0.5135564127127715
12,Multizip Sort,600,603,0.49244261462974454
12,Multizip Sort,800,801,0.23068879444107132
13,Corsort,200,201,0.17395973154362415
13,Corsort,400,401,0.12116331096196868
13,Corsort,600,601,0.05100671140939597
13,Corsort,800,801,0.008769574944071589
13,Multizip Sort,200,234,0.49871359933871773
13,Multizip Sort,400,412,0.5017597159725687
13,Multizip Sort,600,604,0.462022231278818
13,Multizip Sort,800,801,0.3087057537242039
14,Corsort,200,201,0.1796868008948546
14,Corsort,400,401,0.10890380313199105
14,Corsort,600,601,0.04456375838926174
