file,time_limit,corsort_duration,corsort_comparisons,multizip_sort_duration,multizip_sort_comparisons,quick_sort_duration,quick_sort_comparisons,bubble_sort_duration,bubble_sort_comparisons,heap_sort_duration,heap_sort_comparisons,insertion_sort_duration,insertion_sort_comparisons,merge_sort_duration,merge_sort_comparisons,selection_sort_duration,selection_sort_comparisons,shell_sort_duration,shell_sort_comparisons,radix_sort_duration,radix_sort_comparisons,counting_sort_duration,counting_sort_comparisons
list_sorted_8.txt,1,0.0019941329956054688,14,0.00012302398681640625,28,2.002716064453125e-05,28,1.0013580322265625e-05,28,2.002716064453125e-05,27,2.1457672119140625e-06,7,1.5020370483398438e-05,12,7.867813110351562e-06,28,5.245208740234375e-06,17,1.3113021850585938e-05,16,1.0967254638671875e-05,8
list_sorted_8.txt,10,0.0018301010131835938,14,8.702278137207031e-05,28,1.7881393432617188e-05,28,1.0013580322265625e-05,28,1.7881393432617188e-05,27,2.86102294921875e-06,7,1.4066696166992188e-05,12,6.9141387939453125e-06,28,3.814697265625e-06,17,1.2159347534179688e-05,16,2.5987625122070312e-05,8
list_no_duplicates_128.txt,0.001,0.017763137817382812,1,0.0003578662872314453,832,0.00020194053649902344,832,0.0010330677032470703,3551,0.0004489421844482422,1377,0.0010287761688232422,3849,0.00033211708068847656,741,0.0007381439208984375,8128,0.0003249645233154297,1462,0.00028395652770996094,768,0.00012493133544921875,128
list_no_duplicates_128.txt,0.01,0.018163204193115234,1,0.00029087066650390625,832,0.00016307830810546875,832,0.0019278526306152344,8128,0.0005109310150146484,1377,0.0010709762573242188,4406,0.0004189014434814453,741,0.0009739398956298828,8128,0.00026988983154296875,1462,0.00023031234741210938,768,0.00010704994201660156,128
list_no_duplicates_128.txt,0.1,0.11488580703735352,7,0.0003421306610107422,832,0.00020194053649902344,832,0.0019979476928710938,8128,0.0004811286926269531,1377,0.0010890960693359375,4406,0.0003821849822998047,741,0.0006330013275146484,8128,0.00026988983154296875,1462,0.00023317337036132812,768,0.00010657310485839844,128
list_no_duplicates_128.txt,1,1.0093109607696533,62,0.0004012584686279297,832,0.0002570152282714844,832,0.001920938491821289,8128,0.0003981590270996094,1377,0.0011749267578125,4406,0.00027298927307128906,741,0.0010008811950683594,8128,0.0003452301025390625,1462,0.00022912025451660156,768,0.00010704994201660156,128
list_no_duplicates_128.txt,10,5.8233442306518555,749,0.0004830360412597656,832,0.00021696090698242188,832,0.0022449493408203125,8128,0.0004439353942871094,1377,0.0010988712310791016,4406,0.00029730796813964844,741,0.0009660720825195312,8128,0.00046896934509277344,1462,0.0002529621124267578,768,0.0001201629638671875,128
list_sorted_32.txt,0.001,0.0023949146270751953,1,0.0002129077911376953,496,0.0001347064971923828,496,0.00012803077697753906,496,8.296966552734375e-05,231,5.9604644775390625e-06,31,5.0067901611328125e-05,80,5.0067901611328125e-05,496,1.7881393432617188e-05,129,4.792213439941406e-05,128,3.0994415283203125e-05,32
list_sorted_32.txt,0.01,0.011122941970825195,9,0.00024175643920898438,496,0.0001270771026611328,496,0.00012183189392089844,496,9.417533874511719e-05,231,6.198883056640625e-06,31,5.793571472167969e-05,80,5.817413330078125e-05,496,2.09808349609375e-05,129,5.6743621826171875e-05,128,3.504753112792969e-05,32
list_sorted_32.txt,0.1,0.07324814796447754,111,0.0005209445953369141,496,0.000164031982421875,496,0.00021600723266601562,496,0.0001239776611328125,231,6.9141387939453125e-06,31,8.702278137207031e-05,80,7.82012939453125e-05,496,3.886222839355469e-05,129,0.00010919570922851562,128,5.0067901611328125e-05,32
list_sorted_32.txt,1,0.07621192932128906,111,0.0003058910369873047,496,0.00014901161193847656,496,0.00018310546875,496,0.00017118453979492188,231,2.09808349609375e-05,31,4.935264587402344e-05,80,4.8160552978515625e-05,496,1.7881393432617188e-05,129,4.7206878662109375e-05,128,3.0994415283203125e-05,32
list_sorted_32.txt,10,0.07055997848510742,111,0.0003688335418701172,496,0.0001068115234375,496,0.00017213821411132812,496,8.177757263183594e-05,231,5.9604644775390625e-06,31,5.030632019042969e-05,80,4.887580871582031e-05,496,1.6927719116210938e-05,129,4.8160552978515625e-05,128,3.0994415283203125e-05,32
list_reversed_128.txt,0.001,0.018902063369750977,1,0.0010540485382080078,4968,0.0010402202606201172,7663,0.00102996826171875,2978,0.00045108795166015625,1294,0.0010311603546142578,3493,0.0002529621124267578,448,0.0008020401000976562,8128,0.0002560615539550781,1217,0.00032329559326171875,768,0.00013017654418945312,128
list_reversed_128.txt,0.01,0.019103050231933594,1,0.0017199516296386719,8128,0.0010859966278076172,8128,0.002668142318725586,8128,0.0004532337188720703,1294,0.0022859573364257812,8255,0.0002570152282714844,448,0.0007829666137695312,8128,0.0002460479736328125,1217,0.0002722740173339844,768,0.00012803077697753906,128
list_reversed_128.txt,0.1,0.10352897644042969,6,0.002428770065307617,8128,0.0015659332275390625,8128,0.0035448074340820312,8128,0.0004820823669433594,1294,0.0031239986419677734,8255,0.0003159046173095703,448,0.0009949207305908203,8128,0.0003299713134765625,1217,0.0004100799560546875,768,0.00021719932556152344,128
list_reversed_128.txt,1,1.0141220092773438,64,0.0014939308166503906,8128,0.0011031627655029297,8128,0.0025229454040527344,8128,0.00036907196044921875,1294,0.002176046371459961,8255,0.00020599365234375,448,0.0006210803985595703,8128,0.00020122528076171875,1217,0.00022482872009277344,768,0.00010704994201660156,128
list_reversed_128.txt,10,5.514120101928711,705,0.0015521049499511719,8128,0.001096963882446289,8128,0.0021479129791259766,8128,0.0004298686981201172,1294,0.0029370784759521484,8255,0.0004563331604003906,448,0.0012080669403076172,8128,0.00019884109497070312,1217,0.00033211708068847656,768,0.00010395050048828125,128
list_random_64.txt,0.001,0.006407976150512695,1,0.0002751350402832031,406,7.987022399902344e-05,406,0.00047087669372558594,2016,0.00023508071899414062,571,0.00037217140197753906,1116,0.0001220703125,295,0.00016927719116210938,2016,0.00016379356384277344,694,8.130073547363281e-05,256,5.3882598876953125e-05,64
list_random_64.txt,0.01,0.014312982559204102,3,0.000537872314453125,406,0.0001251697540283203,406,0.0005702972412109375,2016,0.0002949237823486328,571,0.00024819374084472656,1116,0.00012183189392089844,295,0.0001690387725830078,2016,0.00013017654418945312,694,8.0108642578125e-05,256,5.412101745605469e-05,64
