algorithm,list_size,time,comparisons,spearman,classification_error,min_time,relative_overhead
multizip_sort,8,0.0001020431518554,16,-0.6428571428571429,8,9.775161743164062e-06,943.9024390236868
quick_sort,8,1.2159347534179688e-05,16,-0.6428571428571429,8,9.775161743164062e-06,24.390243902439025
heap_sort,8,1.4066696166992188e-05,24,-0.6428571428571429,8,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.71661376953125e-05,16,-0.6428571428571429,8,9.775161743164062e-06,75.60975609756098
corsort,8,0.0019080638885498,15,0.5714285714285715,6,9.775161743164062e-06,19419.5121951219
multizip_sort,8,0.0001001358032226,18,0.5714285714285715,6,9.775161743164062e-06,924.3902439018635
quick_sort,8,1.2874603271484377e-05,18,0.5714285714285715,6,9.775161743164062e-06,31.70731707317076
heap_sort,8,1.621246337890625e-05,26,0.5714285714285715,6,9.775161743164062e-06,65.85365853658536
merge_sort,8,3.0040740966796875e-05,13,0.5714285714285715,6,9.775161743164062e-06,207.3170731707317
corsort,8,0.0020051002502441,16,-0.0952380952380952,8,9.775161743164062e-06,20412.1951219508
multizip_sort,8,0.0001029968261718,17,-0.0952380952380952,8,9.775161743164062e-06,953.6585365845987
quick_sort,8,1.0728836059570312e-05,17,-0.0952380952380952,8,9.775161743164062e-06,9.756097560975618
heap_sort,8,1.5020370483398438e-05,25,-0.0952380952380952,8,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.71661376953125e-05,15,-0.0952380952380952,8,9.775161743164062e-06,75.60975609756098
corsort,8,0.0019080638885498,15,0.0,6,9.775161743164062e-06,19419.5121951219
multizip_sort,8,0.0001008510589599,15,0.0,6,9.775161743164062e-06,931.7073170725473
quick_sort,8,1.1920928955078123e-05,15,0.0,6,9.775161743164062e-06,21.951219512195095
heap_sort,8,1.4066696166992188e-05,25,0.0,6,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.71661376953125e-05,16,0.0,6,9.775161743164062e-06,75.60975609756098
corsort,8,0.0019679069519042,16,0.6904761904761906,7,9.775161743164062e-06,20031.70731707218
multizip_sort,8,0.0001049041748046,13,0.6904761904761906,7,9.775161743164062e-06,973.170731706422
quick_sort,8,1.4066696166992188e-05,13,0.6904761904761906,7,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.5974044799804688e-05,26,0.6904761904761906,7,9.775161743164062e-06,63.414634146341456
merge_sort,8,1.6927719116210938e-05,16,0.6904761904761906,7,9.775161743164062e-06,73.17073170731707
corsort,8,0.001936912536621,15,0.3333333333333334,6,9.775161743164062e-06,19714.634146340508
multizip_sort,8,0.0001068115234375,15,0.3333333333333334,6,9.775161743164062e-06,992.6829268292684
quick_sort,8,1.3113021850585938e-05,15,0.3333333333333334,6,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.621246337890625e-05,27,0.3333333333333334,6,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.6927719116210938e-05,17,0.3333333333333334,6,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019829273223876,15,-0.0952380952380952,7,9.775161743164062e-06,20185.36585365756
multizip_sort,8,0.000108003616333,14,-0.0952380952380952,7,9.775161743164062e-06,1004.8780487804079
quick_sort,8,1.4066696166992188e-05,14,-0.0952380952380952,7,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.4066696166992188e-05,25,-0.0952380952380952,7,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.5974044799804688e-05,14,-0.0952380952380952,7,9.775161743164062e-06,63.414634146341456
corsort,8,0.0019440650939941,16,0.180722891566265,7,9.775161743164062e-06,19787.804878048366
multizip_sort,8,9.393692016601562e-05,14,0.180722891566265,7,9.775161743164062e-06,860.9756097560976
quick_sort,8,1.3828277587890623e-05,16,0.180722891566265,7,9.775161743164062e-06,41.46341463414633
heap_sort,8,1.5020370483398438e-05,28,0.180722891566265,7,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.621246337890625e-05,15,0.180722891566265,7,9.775161743164062e-06,65.85365853658536
corsort,8,0.001979112625122,16,0.6428571428571429,8,9.775161743164062e-06,20146.341463413915
multizip_sort,8,0.0001101493835449,15,0.6428571428571429,8,9.775161743164062e-06,1026.8292682924591
quick_sort,8,1.2874603271484377e-05,15,0.6428571428571429,8,9.775161743164062e-06,31.70731707317076
heap_sort,8,1.6927719116210938e-05,28,0.6428571428571429,8,9.775161743164062e-06,73.17073170731707
merge_sort,8,1.5974044799804688e-05,14,0.6428571428571429,8,9.775161743164062e-06,63.414634146341456
corsort,8,0.0019528865814208,16,-0.5476190476190477,8,9.775161743164062e-06,19878.0487804868
multizip_sort,8,9.489059448242188e-05,13,-0.5476190476190477,8,9.775161743164062e-06,870.7317073170732
quick_sort,8,1.1920928955078123e-05,13,-0.5476190476190477,8,9.775161743164062e-06,21.951219512195095
heap_sort,8,1.4066696166992188e-05,24,-0.5476190476190477,8,9.775161743164062e-06,43.90243902439024
merge_sort,8,1.5974044799804688e-05,15,-0.5476190476190477,8,9.775161743164062e-06,63.414634146341456
corsort,8,0.0019590854644775,16,-0.261904761904762,8,9.775161743164062e-06,19941.46341463375
multizip_sort,8,0.0001018047332763,14,-0.261904761904762,8,9.775161743164062e-06,941.463414633459
quick_sort,8,1.1920928955078123e-05,14,-0.261904761904762,8,9.775161743164062e-06,21.951219512195095
heap_sort,8,1.621246337890625e-05,27,-0.261904761904762,8,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.6927719116210938e-05,17,-0.261904761904762,8,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019788742065429,16,-0.380952380952381,6,9.775161743164062e-06,20143.902439023685
multizip_sort,8,9.79900360107422e-05,20,-0.380952380952381,6,9.775161743164062e-06,902.439024390244
quick_sort,8,1.2159347534179688e-05,20,-0.380952380952381,6,9.775161743164062e-06,24.390243902439025
heap_sort,8,1.5020370483398438e-05,27,-0.380952380952381,6,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.5735626220703125e-05,14,-0.380952380952381,6,9.775161743164062e-06,60.97560975609757
corsort,8,0.0018990039825439,15,-0.0476190476190476,8,9.775161743164062e-06,19326.82926829222
multizip_sort,8,9.918212890625e-05,14,-0.0476190476190476,8,9.775161743164062e-06,914.6341463414634
quick_sort,8,1.2874603271484377e-05,14,-0.0476190476190476,8,9.775161743164062e-06,31.70731707317076
heap_sort,8,1.5020370483398438e-05,23,-0.0476190476190476,8,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.5974044799804688e-05,16,-0.0476190476190476,8,9.775161743164062e-06,63.414634146341456
corsort,8,0.0020167827606201,15,0.0952380952380952,7,9.775161743164062e-06,20531.707317072993
multizip_sort,8,0.0001029968261718,15,0.0952380952380952,7,9.775161743164062e-06,953.6585365845987
quick_sort,8,1.4066696166992188e-05,15,0.0952380952380952,7,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.5735626220703125e-05,28,0.0952380952380952,7,9.775161743164062e-06,60.97560975609757
merge_sort,8,1.6927719116210938e-05,17,0.0952380952380952,7,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019052028656005,15,0.380952380952381,5,9.775161743164062e-06,19390.243902438146
multizip_sort,8,9.870529174804688e-05,19,0.380952380952381,5,9.775161743164062e-06,909.7560975609756
quick_sort,8,1.5020370483398438e-05,19,0.380952380952381,5,9.775161743164062e-06,53.65853658536586
heap_sort,8,1.4781951904296877e-05,27,0.380952380952381,5,9.775161743164062e-06,51.21951219512197
merge_sort,8,1.621246337890625e-05,17,0.380952380952381,5,9.775161743164062e-06,65.85365853658536
corsort,8,0.0019991397857666,16,0.5542168674698795,6,9.775161743164062e-06,20351.219512195104
multizip_sort,8,0.0001029968261718,21,0.5542168674698795,6,9.775161743164062e-06,953.6585365845987
quick_sort,8,1.621246337890625e-05,22,0.5542168674698795,6,9.775161743164062e-06,65.85365853658536
heap_sort,8,1.621246337890625e-05,27,0.5542168674698795,6,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.621246337890625e-05,14,0.5542168674698795,6,9.775161743164062e-06,65.85365853658536
corsort,8,0.0021381378173828,16,0.6666666666666669,6,9.775161743164062e-06,21773.17073170719
multizip_sort,8,0.0001020431518554,21,0.6666666666666669,6,9.775161743164062e-06,943.9024390236868
quick_sort,8,1.4781951904296877e-05,21,0.6666666666666669,6,9.775161743164062e-06,51.21951219512197
heap_sort,8,1.5020370483398438e-05,26,0.6666666666666669,6,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.71661376953125e-05,16,0.6666666666666669,6,9.775161743164062e-06,75.60975609756098
corsort,8,0.0019419193267822,16,-0.0476190476190476,7,9.775161743164062e-06,19765.853658536314
multizip_sort,8,9.27448272705078e-05,15,-0.0476190476190476,7,9.775161743164062e-06,848.7804878048779
quick_sort,8,1.1920928955078123e-05,15,-0.0476190476190476,7,9.775161743164062e-06,21.951219512195095
heap_sort,8,1.3828277587890623e-05,26,-0.0476190476190476,7,9.775161743164062e-06,41.46341463414633
merge_sort,8,1.6927719116210938e-05,17,-0.0476190476190476,7,9.775161743164062e-06,73.17073170731707
corsort,8,0.0020649433135986,16,0.5000000000000001,7,9.775161743164062e-06,21024.3902439021
multizip_sort,8,0.0001821517944335,20,0.5000000000000001,7,9.775161743164062e-06,1763.4146341453825
quick_sort,8,1.621246337890625e-05,20,0.5000000000000001,7,9.775161743164062e-06,65.85365853658536
heap_sort,8,1.4781951904296877e-05,26,0.5000000000000001,7,9.775161743164062e-06,51.21951219512197
merge_sort,8,1.5974044799804688e-05,15,0.5000000000000001,7,9.775161743164062e-06,63.414634146341456
corsort,8,0.0019631385803222,16,0.6428571428571429,7,9.775161743164062e-06,19982.926829267624
multizip_sort,8,0.0001018047332763,16,0.6428571428571429,7,9.775161743164062e-06,941.463414633459
quick_sort,8,1.4781951904296877e-05,16,0.6428571428571429,7,9.775161743164062e-06,51.21951219512197
heap_sort,8,1.5020370483398438e-05,26,0.6428571428571429,7,9.775161743164062e-06,53.65853658536586
merge_sort,8,1.621246337890625e-05,13,0.6428571428571429,7,9.775161743164062e-06,65.85365853658536
corsort,8,0.0019319057464599,16,-0.1904761904761905,8,9.775161743164062e-06,19663.41463414572
multizip_sort,8,9.298324584960938e-05,15,-0.1904761904761905,8,9.775161743164062e-06,851.2195121951219
quick_sort,8,1.1920928955078123e-05,15,-0.1904761904761905,8,9.775161743164062e-06,21.951219512195095
heap_sort,8,1.4781951904296877e-05,26,-0.1904761904761905,8,9.775161743164062e-06,51.21951219512197
merge_sort,8,1.5974044799804688e-05,15,-0.1904761904761905,8,9.775161743164062e-06,63.414634146341456
corsort,8,0.0019841194152832,15,0.7619047619047621,4,9.775161743164062e-06,20197.560975609726
multizip_sort,8,0.0001361370086669,22,0.7619047619047621,4,9.775161743164062e-06,1292.6829268283252
quick_sort,8,1.6927719116210938e-05,22,0.7619047619047621,4,9.775161743164062e-06,73.17073170731707
heap_sort,8,1.6927719116210938e-05,28,0.7619047619047621,4,9.775161743164062e-06,73.17073170731707
merge_sort,8,1.6927719116210938e-05,14,0.7619047619047621,4,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019059181213378,15,0.0952380952380952,6,9.775161743164062e-06,19397.56097560883
multizip_sort,8,0.0001027584075927,14,0.0952380952380952,6,9.775161743164062e-06,951.2195121943707
quick_sort,8,1.3113021850585938e-05,14,0.0952380952380952,6,9.775161743164062e-06,34.14634146341464
heap_sort,8,1.621246337890625e-05,27,0.0952380952380952,6,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.71661376953125e-05,16,0.0952380952380952,6,9.775161743164062e-06,75.60975609756098
corsort,8,0.0018947124481201,15,-0.380952380952381,8,9.775161743164062e-06,19282.92682926812
multizip_sort,8,0.0001001358032226,16,-0.380952380952381,8,9.775161743164062e-06,924.3902439018635
quick_sort,8,1.0967254638671877e-05,16,-0.380952380952381,8,9.775161743164062e-06,12.195121951219523
heap_sort,8,1.6927719116210938e-05,28,-0.380952380952381,8,9.775161743164062e-06,73.17073170731707
merge_sort,8,1.6927719116210938e-05,15,-0.380952380952381,8,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019497871398925,14,-0.119047619047619,8,9.775161743164062e-06,19846.341463413835
multizip_sort,8,9.703636169433594e-05,14,-0.119047619047619,8,9.775161743164062e-06,892.6829268292684
