0,200,201,0.19516778523489933
0,400,401,0.10138702460850112
0,600,601,0.038120805369127514
0,800,801,0.005369127516778523
1,200,201,0.1865771812080537
1,400,401,0.08993288590604027
1,600,601,0.041252796420581654
1,800,801,0.008053691275167786
2,200,201,0.17861297539149887
2,400,401,0.0995973154362416
2,600,601,0.04017897091722595
2,800,801,0.008859060402684563
3,200,201,0.17834451901565995
3,400,401,0.10505592841163311
3,600,601,0.04196868008948546
3,800,801,0.006890380313199105
4,200,201,0.1960626398210291
4,400,401,0.11391498881431768
4,600,601,0.03901565995525727
4,800,801,0.0071588366890380315
