Algorithm,Test Case,Comparisons,Spearman Distance,Classification Error,Execution Time
Heap Sort,Lista 9,85,104.0,17,5.1975250244140625e-05
Heap Sort,Lista 10,379,691.0,46,9.703636169433594e-05
Heap Sort,Lista 11,49,36.0,10,2.002716064453125e-05
Heap Sort,Lista 12,155,187.0,22,4.506111145019531e-05
Heap Sort,Lista 13,153,182.0,24,4.315376281738281e-05
Heap Sort,Lista 14,240,443.0,33,6.29425048828125e-05
Heap Sort,Lista 15,80,106.0,13,2.6226043701171875e-05
Heap Sort,Lista 16,318,569.0,41,8.487701416015625e-05
Heap Sort,Lista 17,59,62.0,10,2.002716064453125e-05
Heap Sort,Lista 18,340,522.0,41,8.797645568847656e-05
Heap Sort,Lista 19,297,538.0,37,7.891654968261719e-05
Heap Sort,Lista 20,398,759.0,44,0.00010418891906738281
Insertion Sort,Lista 1,93,106.0,17,1.5020370483398438e-05
Insertion Sort,Lista 2,506,637.0,46,6.604194641113281e-05
Insertion Sort,Lista 3,522,672.0,44,6.794929504394531e-05
Insertion Sort,Lista 4,509,634.0,42,6.699562072753906e-05
Insertion Sort,Lista 5,506,620.0,42,6.604194641113281e-05
Insertion Sort,Lista 6,565,670.0,43,7.295608520507812e-05
Insertion Sort,Lista 7,48,45.0,11,9.059906005859375e-06
Insertion Sort,Lista 8,299,374.0,31,5.817413330078125e-05
Insertion Sort,Lista 9,93,104.0,17,1.4781951904296875e-05
Insertion Sort,Lista 10,560,691.0,46,7.390975952148438e-05
Insertion Sort,Lista 11,32,36.0,10,8.106231689453125e-06
Insertion Sort,Lista 12,164,187.0,22,2.4080276489257812e-05
Insertion Sort,Lista 13,155,182.0,24,2.288818359375e-05
Insertion Sort,Lista 14,321,443.0,33,4.982948303222656e-05
Insertion Sort,Lista 15,99,106.0,13,4.1961669921875e-05
Insertion Sort,Lista 16,467,569.0,41,6.794929504394531e-05
Insertion Sort,Lista 17,58,62.0,10,1.2159347534179688e-05
Insertion Sort,Lista 18,411,522.0,41,6.318092346191406e-05
Insertion Sort,Lista 19,448,538.0,37,8.106231689453125e-05
Insertion Sort,Lista 20,632,759.0,44,9.107589721679688e-05
Merge Sort,Lista 1,52,106.0,17,3.600120544433594e-05
Merge Sort,Lista 2,202,637.0,46,0.00010085105895996094
Merge Sort,Lista 3,200,672.0,44,9.894371032714844e-05
Merge Sort,Lista 4,187,634.0,42,9.274482727050781e-05
Merge Sort,Lista 5,191,620.0,42,9.608268737792969e-05
Merge Sort,Lista 6,195,670.0,43,0.00010180473327636719
Merge Sort,Lista 7,35,45.0,11,2.4080276489257812e-05
Merge Sort,Lista 8,115,374.0,31,6.198883056640625e-05
Merge Sort,Lista 9,50,104.0,17,3.2901763916015625e-05
Merge Sort,Lista 10,209,691.0,46,0.00010204315185546875
Merge Sort,Lista 11,24,36.0,10,1.9788742065429688e-05
Merge Sort,Lista 12,81,187.0,22,4.76837158203125e-05
Merge Sort,Lista 13,83,182.0,24,4.8160552978515625e-05
Merge Sort,Lista 14,134,443.0,33,7.390975952148438e-05
Merge Sort,Lista 15,45,106.0,13,2.9802322387695312e-05
Merge Sort,Lista 16,168,569.0,41,8.702278137207031e-05
Merge Sort,Lista 17,35,62.0,10,2.5033950805664062e-05
Merge Sort,Lista 18,179,522.0,41,8.916854858398438e-05
Merge Sort,Lista 19,161,538.0,37,8.106231689453125e-05
Merge Sort,Lista 20,216,759.0,44,0.00010275840759277344
Selection Sort,Lista 1,136,106.0,17,1.9311904907226562e-05
Selection Sort,Lista 2,1035,637.0,46,0.00010395050048828125
Selection Sort,Lista 3,1035,672.0,44,0.0001049041748046875
Selection Sort,Lista 4,903,634.0,42,9.179115295410156e-05
Selection Sort,Lista 5,990,620.0,42,0.00010085105895996094
Selection Sort,Lista 6,990,670.0,43,9.894371032714844e-05
Selection Sort,Lista 7,78,45.0,11,1.3113021850585938e-05
Selection Sort,Lista 8,465,374.0,31,5.1021575927734375e-05
Selection Sort,Lista 9,136,104.0,17,1.9073486328125e-05
Selection Sort,Lista 10,1081,691.0,46,0.00010895729064941406
Selection Sort,Lista 11,55,36.0,10,1.1682510375976562e-05
Selection Sort,Lista 12,276,187.0,22,3.1948089599609375e-05
Selection Sort,Lista 13,276,182.0,24,3.1948089599609375e-05
Selection Sort,Lista 14,561,443.0,33,6.008148193359375e-05
