algorithm,list_size,time,comparisons,spearman,classification_error
quick_sort,8,1.4781951904296875e-05,19,0.4096385542168674,7
heap_sort,8,1.621246337890625e-05,26,0.4096385542168674,7
merge_sort,8,1.621246337890625e-05,15,0.4096385542168674,7
corsort,8,0.0019299983978271484,15,-0.6428571428571429,8
multizip_sort,8,0.00010204315185546875,16,-0.6428571428571429,8
quick_sort,8,1.2159347534179688e-05,16,-0.6428571428571429,8
heap_sort,8,1.4066696166992188e-05,24,-0.6428571428571429,8
merge_sort,8,1.71661376953125e-05,16,-0.6428571428571429,8
corsort,8,0.0019080638885498047,15,0.5714285714285715,6
multizip_sort,8,0.00010013580322265625,18,0.5714285714285715,6
quick_sort,8,1.2874603271484375e-05,18,0.5714285714285715,6
heap_sort,8,1.621246337890625e-05,26,0.5714285714285715,6
merge_sort,8,3.0040740966796875e-05,13,0.5714285714285715,6
corsort,8,0.0020051002502441406,16,-0.09523809523809526,8
multizip_sort,8,0.000102996826171875,17,-0.09523809523809526,8
quick_sort,8,1.0728836059570312e-05,17,-0.09523809523809526,8
heap_sort,8,1.5020370483398438e-05,25,-0.09523809523809526,8
merge_sort,8,1.71661376953125e-05,15,-0.09523809523809526,8
corsort,8,0.0019080638885498047,15,0.0,6
multizip_sort,8,0.00010085105895996094,15,0.0,6
quick_sort,8,1.1920928955078125e-05,15,0.0,6
heap_sort,8,1.4066696166992188e-05,25,0.0,6
merge_sort,8,1.71661376953125e-05,16,0.0,6
corsort,8,0.001967906951904297,16,0.6904761904761906,7
multizip_sort,8,0.0001049041748046875,13,0.6904761904761906,7
quick_sort,8,1.4066696166992188e-05,13,0.6904761904761906,7
heap_sort,8,1.5974044799804688e-05,26,0.6904761904761906,7
merge_sort,8,1.6927719116210938e-05,16,0.6904761904761906,7
corsort,8,0.0019369125366210938,15,0.3333333333333334,6
multizip_sort,8,0.0001068115234375,15,0.3333333333333334,6
quick_sort,8,1.3113021850585938e-05,15,0.3333333333333334,6
heap_sort,8,1.621246337890625e-05,27,0.3333333333333334,6
merge_sort,8,1.6927719116210938e-05,17,0.3333333333333334,6
corsort,8,0.0019829273223876953,15,-0.09523809523809526,7
multizip_sort,8,0.00010800361633300781,14,-0.09523809523809526,7
quick_sort,8,1.4066696166992188e-05,14,-0.09523809523809526,7
heap_sort,8,1.4066696166992188e-05,25,-0.09523809523809526,7
merge_sort,8,1.5974044799804688e-05,14,-0.09523809523809526,7
corsort,8,0.0019440650939941406,16,0.18072289156626503,7
multizip_sort,8,9.393692016601562e-05,14,0.18072289156626503,7
quick_sort,8,1.3828277587890625e-05,16,0.18072289156626503,7
heap_sort,8,1.5020370483398438e-05,28,0.18072289156626503,7
merge_sort,8,1.621246337890625e-05,15,0.18072289156626503,7
corsort,8,0.0019791126251220703,16,0.6428571428571429,8
multizip_sort,8,0.00011014938354492188,15,0.6428571428571429,8
quick_sort,8,1.2874603271484375e-05,15,0.6428571428571429,8
heap_sort,8,1.6927719116210938e-05,28,0.6428571428571429,8
merge_sort,8,1.5974044799804688e-05,14,0.6428571428571429,8
corsort,8,0.0019528865814208984,16,-0.5476190476190477,8
multizip_sort,8,9.489059448242188e-05,13,-0.5476190476190477,8
quick_sort,8,1.1920928955078125e-05,13,-0.5476190476190477,8
heap_sort,8,1.4066696166992188e-05,24,-0.5476190476190477,8
merge_sort,8,1.5974044799804688e-05,15,-0.5476190476190477,8
corsort,8,0.001959085464477539,16,-0.261904761904762,8
multizip_sort,8,0.00010180473327636719,14,-0.261904761904762,8
quick_sort,8,1.1920928955078125e-05,14,-0.261904761904762,8
heap_sort,8,1.621246337890625e-05,27,-0.261904761904762,8
merge_sort,8,1.6927719116210938e-05,17,-0.261904761904762,8
corsort,8,0.0019788742065429688,16,-0.38095238095238104,6
multizip_sort,8,9.799003601074219e-05,20,-0.38095238095238104,6
quick_sort,8,1.2159347534179688e-05,20,-0.38095238095238104,6
heap_sort,8,1.5020370483398438e-05,27,-0.38095238095238104,6
merge_sort,8,1.5735626220703125e-05,14,-0.38095238095238104,6
corsort,8,0.0018990039825439453,15,-0.04761904761904763,8
multizip_sort,8,9.918212890625e-05,14,-0.04761904761904763,8
quick_sort,8,1.2874603271484375e-05,14,-0.04761904761904763,8
heap_sort,8,1.5020370483398438e-05,23,-0.04761904761904763,8
merge_sort,8,1.5974044799804688e-05,16,-0.04761904761904763,8
corsort,8,0.002016782760620117,15,0.09523809523809526,7
multizip_sort,8,0.000102996826171875,15,0.09523809523809526,7
quick_sort,8,1.4066696166992188e-05,15,0.09523809523809526,7
heap_sort,8,1.5735626220703125e-05,28,0.09523809523809526,7
merge_sort,8,1.6927719116210938e-05,17,0.09523809523809526,7
corsort,8,0.001905202865600586,15,0.38095238095238104,5
multizip_sort,8,9.870529174804688e-05,19,0.38095238095238104,5
quick_sort,8,1.5020370483398438e-05,19,0.38095238095238104,5
heap_sort,8,1.4781951904296875e-05,27,0.38095238095238104,5
merge_sort,8,1.621246337890625e-05,17,0.38095238095238104,5
corsort,8,0.0019991397857666016,16,0.5542168674698795,6
multizip_sort,8,0.000102996826171875,21,0.5542168674698795,6
quick_sort,8,1.621246337890625e-05,22,0.5542168674698795,6
heap_sort,8,1.621246337890625e-05,27,0.5542168674698795,6
merge_sort,8,1.621246337890625e-05,14,0.5542168674698795,6
corsort,8,0.0021381378173828125,16,0.6666666666666669,6
multizip_sort,8,0.00010204315185546875,21,0.6666666666666669,6
quick_sort,8,1.4781951904296875e-05,21,0.6666666666666669,6
heap_sort,8,1.5020370483398438e-05,26,0.6666666666666669,6
merge_sort,8,1.71661376953125e-05,16,0.6666666666666669,6
corsort,8,0.0019419193267822266,16,-0.04761904761904763,7
multizip_sort,8,9.274482727050781e-05,15,-0.04761904761904763,7
quick_sort,8,1.1920928955078125e-05,15,-0.04761904761904763,7
heap_sort,8,1.3828277587890625e-05,26,-0.04761904761904763,7
merge_sort,8,1.6927719116210938e-05,17,-0.04761904761904763,7
corsort,8,0.002064943313598633,16,0.5000000000000001,7
multizip_sort,8,0.00018215179443359375,20,0.5000000000000001,7
quick_sort,8,1.621246337890625e-05,20,0.5000000000000001,7
heap_sort,8,1.4781951904296875e-05,26,0.5000000000000001,7
merge_sort,8,1.5974044799804688e-05,15,0.5000000000000001,7
corsort,8,0.0019631385803222656,16,0.6428571428571429,7
multizip_sort,8,0.00010180473327636719,16,0.6428571428571429,7
quick_sort,8,1.4781951904296875e-05,16,0.6428571428571429,7
heap_sort,8,1.5020370483398438e-05,26,0.6428571428571429,7
merge_sort,8,1.621246337890625e-05,13,0.6428571428571429,7
corsort,8,0.001931905746459961,16,-0.19047619047619052,8
multizip_sort,8,9.298324584960938e-05,15,-0.19047619047619052,8
quick_sort,8,1.1920928955078125e-05,15,-0.19047619047619052,8
heap_sort,8,1.4781951904296875e-05,26,-0.19047619047619052,8
merge_sort,8,1.5974044799804688e-05,15,-0.19047619047619052,8
corsort,8,0.001984119415283203,15,0.7619047619047621,4
multizip_sort,8,0.0001361370086669922,22,0.7619047619047621,4
quick_sort,8,1.6927719116210938e-05,22,0.7619047619047621,4
heap_sort,8,1.6927719116210938e-05,28,0.7619047619047621,4
merge_sort,8,1.6927719116210938e-05,14,0.7619047619047621,4
corsort,8,0.0019059181213378906,15,0.09523809523809526,6
multizip_sort,8,0.00010275840759277344,14,0.09523809523809526,6
quick_sort,8,1.3113021850585938e-05,14,0.09523809523809526,6
heap_sort,8,1.621246337890625e-05,27,0.09523809523809526,6
merge_sort,8,1.71661376953125e-05,16,0.09523809523809526,6
corsort,8,0.0018947124481201172,15,-0.38095238095238104,8
multizip_sort,8,0.00010013580322265625,16,-0.38095238095238104,8
quick_sort,8,1.0967254638671875e-05,16,-0.38095238095238104,8
heap_sort,8,1.6927719116210938e-05,28,-0.38095238095238104,8
merge_sort,8,1.6927719116210938e-05,15,-0.38095238095238104,8
corsort,8,0.0019497871398925781,14,-0.11904761904761905,8
multizip_sort,8,9.703636169433594e-05,14,-0.11904761904761905,8
quick_sort,8,1.4066696166992188e-05,14,-0.11904761904761905,8
heap_sort,8,1.52587890625e-05,27,-0.11904761904761905,8
merge_sort,8,1.6927719116210938e-05,16,-0.11904761904761905,8
corsort,8,0.002052783966064453,16,0.2048192771084337,5
multizip_sort,8,0.0001010894775390625,16,0.2048192771084337,5
quick_sort,8,1.5020370483398438e-05,16,0.2048192771084337,5
heap_sort,8,1.5735626220703125e-05,25,0.2048192771084337,5
merge_sort,8,1.6689300537109375e-05,16,0.2048192771084337,5
corsort,8,0.002112150192260742,16,-0.15662650602409636,7
multizip_sort,8,0.00010228157043457031,14,-0.15662650602409636,7
quick_sort,8,1.2636184692382812e-05,15,-0.15662650602409636,7
heap_sort,8,1.52587890625e-05,26,-0.15662650602409636,7
merge_sort,8,1.6927719116210938e-05,17,-0.15662650602409636,7
corsort,8,0.0018627643585205078,15,-0.2142857142857143,8
multizip_sort,8,9.322166442871094e-05,14,-0.2142857142857143,8
quick_sort,8,1.4066696166992188e-05,14,-0.2142857142857143,8
heap_sort,8,1.5020370483398438e-05,27,-0.2142857142857143,8
merge_sort,8,1.6689300537109375e-05,15,-0.2142857142857143,8
corsort,8,0.0020890235900878906,15,-0.11904761904761905,4
multizip_sort,8,0.00010919570922851562,15,-0.11904761904761905,4
quick_sort,8,1.3113021850585938e-05,15,-0.11904761904761905,4
heap_sort,8,1.3828277587890625e-05,23,-0.11904761904761905,4
merge_sort,8,1.6927719116210938e-05,17,-0.11904761904761905,4
corsort,8,0.0019850730895996094,16,0.09523809523809526,7
multizip_sort,8,0.00010991096496582031,14,0.09523809523809526,7
quick_sort,8,1.4066696166992188e-05,14,0.09523809523809526,7
heap_sort,8,1.5974044799804688e-05,28,0.09523809523809526,7
merge_sort,8,1.5974044799804688e-05,15,0.09523809523809526,7
corsort,8,0.001992940902709961,16,0.11904761904761905,7
multizip_sort,8,0.00010013580322265625,16,0.11904761904761905,7
quick_sort,8,1.5020370483398438e-05,16,0.11904761904761905,7
heap_sort,8,1.4781951904296875e-05,26,0.11904761904761905,7
merge_sort,8,1.71661376953125e-05,17,0.11904761904761905,7
corsort,8,0.0019669532775878906,16,-0.463855421686747,7
multizip_sort,8,0.00011014938354492188,19,-0.463855421686747,7
quick_sort,8,1.4066696166992188e-05,20,-0.463855421686747,7
heap_sort,8,1.4066696166992188e-05,23,-0.463855421686747,7
merge_sort,8,1.6927719116210938e-05,17,-0.463855421686747,7
corsort,8,0.0018901824951171875,15,-0.11904761904761905,5
multizip_sort,8,0.00010180473327636719,23,-0.11904761904761905,5
quick_sort,8,1.2874603271484375e-05,23,-0.11904761904761905,5
heap_sort,8,1.52587890625e-05,25,-0.11904761904761905,5
merge_sort,8,1.6927719116210938e-05,17,-0.11904761904761905,5
corsort,8,0.0019698143005371094,16,-0.38095238095238104,7
multizip_sort,8,9.512901306152344e-05,17,-0.38095238095238104,7
quick_sort,8,9.775161743164062e-06,17,-0.38095238095238104,7
heap_sort,8,1.4781951904296875e-05,26,-0.38095238095238104,7
merge_sort,8,1.6927719116210938e-05,16,-0.38095238095238104,7
corsort,8,0.0019288063049316406,16,0.2380952380952381,7
multizip_sort,8,9.489059448242188e-05,19,0.2380952380952381,7
quick_sort,8,1.8835067749023438e-05,19,0.2380952380952381,7
heap_sort,8,1.5020370483398438e-05,26,0.2380952380952381,7
merge_sort,8,1.5974044799804688e-05,17,0.2380952380952381,7
corsort,8,0.002000093460083008,16,-0.3571428571428572,7
multizip_sort,8,0.00010395050048828125,15,-0.3571428571428572,7
quick_sort,8,1.1920928955078125e-05,15,-0.3571428571428572,7
heap_sort,8,1.3828277587890625e-05,23,-0.3571428571428572,7
merge_sort,8,1.621246337890625e-05,15,-0.3571428571428572,7
corsort,8,0.002226114273071289,16,-0.2142857142857143,8
multizip_sort,8,9.918212890625e-05,14,-0.2142857142857143,8
quick_sort,8,1.3113021850585938e-05,14,-0.2142857142857143,8
heap_sort,8,1.5974044799804688e-05,26,-0.2142857142857143,8
merge_sort,8,1.71661376953125e-05,15,-0.2142857142857143,8
corsort,8,0.0018720626831054688,15,0.023809523809523815,7
multizip_sort,8,9.393692016601562e-05,16,0.023809523809523815,7
quick_sort,8,1.2874603271484375e-05,16,0.023809523809523815,7
heap_sort,8,1.621246337890625e-05,27,0.023809523809523815,7
